TYPE,"LICENSE
#",NAME,ADDRESS,CITY,STATE,ZIP,COUNTY,OWNER,"ADM
FIRST","ADM
LAST",TELEPHONE,"LICENSURE
EXPIRATION"
Alcohol and Other Drug Entity Facility,810631,"SOLUTIONS IN LIVING, LLC","510 GRAVES AVENUE, SUITE 206",ERLANGER,KY,41018,KENTON,"SOLUTIONS IN LIVING, LLC",MAUREEN,BENSMAN,(859) 750-7804,11/30/19
Alcohol and Other Drug Entity Facility,810653,ST ELIZABETH PHYSICIAN'S JOURNEY RECOVERY CENTER,351 CENTRE VIEW BLVD,CRESTVIEW HILLS,KY,41017,KENTON,SUMMIT MEDICAL GROUP,TERESA,KOELLER,(859) 757-0717,9/30/20
Alcohol and Other Drug Entity Facility,810431,STEPWORKS RECOVERY CENTERS,1111 CROWNE POINTE DRIVE,ELIZABETHTOWN,KY,42701,HARDIN,"STEPWORKS RECOVERY CENTERS, LLC",DERON,BIBB,(800) 545-9031,12/31/19
Alcohol and Other Drug Entity Facility,810613,"STEPWORKS RECOVERY CENTERS, LLC",151 COCONUT GROVE DRIVE,NICHOLASVILLE,KY,40356,JESSAMINE,"STEPWORKS RECOVERY CENTERS, LLC",DREW,INGRAM,(800) 545-9031,3/31/20
Alcohol and Other Drug Entity Facility,810384,TAG HEALING CENTER,83 C MICHAEL DAVENPORT BLVD,FRANKFORT,KY,40601,FRANKLIN,GINA TURNER,GINA,TURNER,(859) 420-8824,2/29/20
Alcohol and Other Drug Entity Facility,810103,THE ADANTA GROUP,259 PARKERS MILL ROAD,SOMERSET,KY,42501,PULASKI,LAKE CUMBERLAND REGIONAL MH/MR BOARD INC,BEVERLY,LOY,(606) 679-4782,2/29/20
Alcohol and Other Drug Entity Facility,810513,THE COMMITMENT HOUSE,725 NEW GLENDALE ROAD,ELIZABETHTOWN,KY,42701,HARDIN,THE COMMITMENT HOUSE,JEANNE,GOODSELL,(270) 900-0373,6/30/20
Alcohol and Other Drug Entity Facility,810184,"THE COUNSELING CENTER, INC",110 EAST MAIN STREET,MORGANFIELD,KY,42437,UNION,"THE COUNSELING CENTER, INC.",DON,LESTER,(270) 313-4714,4/30/20
Alcohol and Other Drug Entity Facility,810330,"THE FAMILY HEALING CENTER, INC","241 EAST MAIN STREET, PAUL BLAIR BUILDING",MOREHEAD,KY,40351,ROWAN,"THE FAMILY HEALING CENTER, INC",TIM,DIXON,(606) 548-1502,8/31/20
Alcohol and Other Drug Entity Facility,810390,THE INFINITY CENTER,"340 17TH STREET, SUITE #1",ASHLAND,KY,41101,BOYD,"THE INFINITY CENTER, LLC",WILLIAM,"CARTER, II",(606) 420-4070,3/31/20
Alcohol and Other Drug Entity Facility,810561,THE LIBERTY RANCH REHABILITATION CENTER,2735 NORTH HWY 501,KINGS MOUNTAIN,KY,40442,CASEY,"LIBERTY RANCH REHABILITATION CENTER, LLC",AMANDA,BURDINE,(606) 706-3362,3/31/20
Alcohol and Other Drug Entity Facility,810049,THE MORE CENTER,1448 SOUTH 15TH STREET,LOUISVILLE,KY,40210,JEFFERSON,LOUISVILLE JEFFERSON CO. METRO HEALTH DEPARTMENT,CHRISTY,JEFFERIES,(502) 574-6414,2/29/20
Alcohol and Other Drug Entity Facility,810230,THE RECOVERY HOUSE,8521 LAGRANGE ROAD,LOUISVILLE,KY,40242,JEFFERSON,KMI ACQUISITION LLC,KIM,PEABODY,(502) 814-3774,4/30/20
Alcohol and Other Drug Entity Facility,810690,THERAPEUTIC COUNSELING AND INTERVENTION SERVICES,5294 MADISON PIKE,INDEPENDENCE,KY,41051,KENTON,"THERAPEUTIC COUNSELING AND INTERVENTION SERVICES,",LAURA,KRUTHOFFER,(859) 240-8225,6/30/20
Alcohol and Other Drug Entity Facility,810204,THOMAS-PEEPLES AND ASSOCIATES PSC,106 DENNIS DRIVE,LEXINGTON,KY,40503,FAYETTE,"THOMAS-PEEPLES AND ASSOCIATES, PSC",WILMA,PEEPLES,(859) 278-4775,Pending Renewal
Alcohol and Other Drug Entity Facility,810288,TIME OUT COMMUNITY COUNSELING & CORRECTIONAL SERVI,"201 WEST MAIN, CITY COUNTY BUILDING, 3RD FLOOR",SCOTTSVILLE,KY,42164,ALLEN,TIME OUT COMMUNITY COUNSELING AND CORRECTIONAL SER,JIMMY,FARLEY,(270) 237-3463,4/30/20
Alcohol and Other Drug Entity Facility,810349,TOWNS COUNSELING SERVICES PSC,"112 WALTERS AVENUE, SUITE 102",HODGENVILLE,KY,42748,LARUE,"TOWNS COUNSELING SERVICES, PSC",E. LEE,TOWNS,(270) 982-2223,Pending Renewal
Alcohol and Other Drug Entity Facility,810114,"TRANSITIONS, INC RESIDENTIAL TREATMENT CENTER",313 MADISON PIKE,ERLANGER,KY,41017,KENTON,"TRANSITIONS, INC.",JIM,BEITING,(859) 491-4435,3/31/20
Alcohol and Other Drug Entity Facility,810602,"TRUE TO YOU COUNSELING SERVICES, LLC","298 BOGLE STREET, SUITE A",SOMERSET,KY,42503,PULASKI,"TRUE TO YOU COUNSELING SERVICE, LLC",ANTHONY,ROBERTS,(859) 212-6806,1/31/20
Alcohol and Other Drug Entity Facility,810624,TRUENORTH TREATMENT CENTER,121 E 2ND STREET SUITE 401,OWENSBORO,KY,42303,DAVIESS,"TRUENORTH TREATMENT CENTER, LLC",JENNIFER,LEWIS-SEATON,(270) 240-1785,9/30/20
Alcohol and Other Drug Entity Facility,810460,UNITED BEHAVIORAL HEALTH ASSOCIATES,"1021 MAJESTIC DRIVE, SUITE 100",LEXINGTON,KY,40513,FAYETTE,"UNITED BEHAVIORAL HEALTH ASSOCIATES, PLLC",SAEED,HAMID,(859) 278-1162,Pending Renewal
Alcohol and Other Drug Entity Facility,810154,VANARK BEHAVIORAL MANAGEMENT,193 EAST COURT STREET,PRESTONSBURG,KY,41653,FLOYD,"VANARK BEHAVIOR MANAGEMENT, INC.",RHONDA,CLARK,(606) 886-9989,5/31/20
Alcohol and Other Drug Entity Facility,810569,VITALIZE HEALTHCARE,"312 SOUTH 4TH STREET, SUITE 700",LOUISVILLE,KY,40202,JEFFERSON,VITALIZE HEALTHCARE LTD. CO.,HAKEEM,MOHAMMED,(502) 213-5942,5/31/20
Alcohol and Other Drug Entity Facility,810072,WEST END COUNSELING SERVICES,"332 WEST BROADWAY, SUITE 902",LOUISVILLE,KY,40202,JEFFERSON,MICHAEL L. WARDFORD,MICHAEL,WARDFORD,(502) 589-8009,3/31/20
Alcohol and Other Drug Entity Facility,810025,WEST KY DRUG & ALCOHOL INTERVENTION SERVICES,120 NORTH NINTH STREET,MAYFIELD,KY,42066,GRAVES,"WKDA SERVICES, LLC",MARTY,COBB,(270) 247-4212,1/31/20
Alcohol and Other Drug Entity Facility,810246,WESTCARE KENTUCKY COMMUNITY INVOLVEMENT CENTER,108 MAIN STREET,IRVINE,KY,40336,ESTILL,WESTCARE FOUNDATION,STEPHEN,WRIGHT,(606) 726-0385,3/31/20
Alcohol and Other Drug Entity Facility,810242,WESTCARE KY EMERGENCY SHELTER/COMMUNITY INVOLVEME,173 REDALE ROAD,PIKEVILLE,KY,41501,PIKE,"WESTCARE KENTUCKY, INC.",STEPHEN,WRIGHT,(606) 432-9442,11/30/19
Alcohol and Other Drug Entity Facility,810315,WESTERN KY CORRECTIONAL COMPLEX SUBSTANCE ABUSE TR,374 NEW BETHEL ROAD,FREDONIA,KY,42411,CALDWELL,COMMONWEALTH OF KENTUCKY,AMY,TURNER,(270) 388-9781,Pending Renewal
Alcohol and Other Drug Entity Facility,810381,"WESTERN KY MEDICAL, LLC",609 HAMMOND PLAZA,HOPKINSVILLE,KY,42240,CHRISTIAN,"WESTERN KY MEDICAL, LLC",CYNTHIA,JASCHEN,(270) 887-8333,11/30/20
Alcohol and Other Drug Entity Facility,810249,WINDOWS OF DISCOVERY,"650 NORTH MAIN STREET, SUITE 224",SOMERSET,KY,42501,PULASKI,"WINDOWS OF DISCOVERY, INC.",ANGI,ADAMS,(606) 678-9183,3/31/20
AODE Residential Facility,810535,ADDICTION RECOVERY CARE,2206 WALNUT STREET,CATLETTSBURG,KY,41129,BOYD,"ADDICTION RECOVERY CARE, LLC",TIMMY,"ROBINSON, JR.",(606) 826-0265,Pending Renewal
AODE Residential Facility,810719,ADDICTION RECOVERY CARE,105-107 EAST MADISON STREET,LOUISA,KY,41230,LAWRENCE,"ADDICTION RECOVERY CARE, LLC",TIM,ROBINSON,(606) 638-0938,7/31/20
AODE Residential Facility,810686,"ADDICTION RECOVERY CARE, LLC",8015 MILLARD HIGHWAY,PIKEVILLE,KY,41501,PIKE,"ADDICTION RECOVERY CARE, LLC",TIM,ROBINSON,(606) 638-0938,9/30/20
AODE Residential Facility,810687,"ADDICTION RECOVERY CARE, LLC",2221 CENTRAL AVENUE,ASHLAND,KY,41101,BOYD,"ADDICTION RECOVERY CARE, LLC",TIM,ROBINSON,(606) 638-0938,7/31/20
AODE Residential Facility,810634,ADDICTION RECOVERY CARE-BETH'S BLESSING,13715 HIGHWAY 421 SOUTH,TYNER,KY,40486,JACKSON,"ADDICTION RECOVERY CARE, LLC",TIM,ROBINSON,(606) 638-0938,8/31/20
AODE Residential Facility,810422,ADOLESCENT RECOVERY CENTER,"1311 NORTH DIXIE AVENUE, BUILDING D",ELIZABETHTOWN,KY,42701,HARDIN,"COMMUNICARE, INC.",DAN,SIMPSON,(270) 360-0419,1/31/20
AODE Residential Facility,810714,BLUE SKY RECOVERY CENTER,2495 CRANSTON ROAD,MOREHEAD,KY,40351,ROWAN,"EDGEWATER RECOVERY CENTER, LLC",JOHN,ELAM,(606) 691-4640,7/31/20
AODE Residential Facility,810659,BLUEGRASS CENTER FOR WOMEN AND CHILDREN,401 GIBSON LANE,RICHMOND,KY,40475,MADISON,"NEW VISTA OF THE BLUEGRASS, INC.",PAUL,BEATRICE,(859) 253-1686,10/31/20
AODE Residential Facility,810585,"BLUEGRASS HORIZON, LLC",451 QUISENBERRY ROAD,CAMPBELLSVILLE,KY,42718,TAYLOR,"BLUEGRASS HORIZON, LLC",KIM,DAVIS,(270) 403-1708,7/31/20
AODE Residential Facility,810520,BROOKSIDE,"400 VENTERS LANE, SUITE 400",PIKEVILLE,KY,41501,PIKE,"RENEW RESIDENTIAL TREATMENT, LLC",EUGENE,SISCO III,(606) 653-1874,6/30/20
AODE Residential Facility,810104,"CENTERSTONE OF KENTUCKY, INC",2210 TUCKER STATION ROAD,LOUISVILLE,KY,40299,JEFFERSON,"CENTERSTONE OF KENTUCKY, INC",ABBREIAL,DRANE,(502) 366-0705,3/31/20
AODE Residential Facility,810678,"CENTERSTONE OF KENTUCKY, INC",805 MARY STREET,LOUISVILLE,KY,40223,JEFFERSON,"CENTERSTONE OF KENTUCKY, INC.",SUSAN,RITTENHOUSE,(502) 589-8600,2/29/20
AODE Residential Facility,810214,"CENTERSTONE OF KENTUCKY, INC",600 SOUTH PRESTON STREET,LOUISVILLE,KY,40202,JEFFERSON,"CENTERSTONE OF KENTUCKY, INC",ABBREIAL,DRANE,(502) 583-3951,3/31/20
AODE Residential Facility,810514,"CENTERSTONE OF KENTUCKY, INC",231 WASHINGTON STREET,SHELBYVILLE,KY,40065,SHELBY,"CENTERSTONE OF KENTUCKY, INC.",ABBREIAL,DRANE,(502) 589-8600,5/31/20
AODE Residential Facility,810205,CHARLES I SCHWARTZ CHEMICAL DEPENDENCY TX CENTER,3479 BUCKHORN DRIVE,LEXINGTON,KY,40515,FAYETTE,"NEW VISTA OF THE BLUEGRASS, INC.",PAUL,BEATRICE,(859) 246-7282,2/29/20
AODE Residential Facility,810657,CHRYSALIS HOUSE - BULL LEA ROAD,1374 BULL LEA ROAD,LEXINGTON,KY,40511,FAYETTE,"CHRYSALIS HOUSE, INC.",LISA,MINTON,(859) 977-2502,10/31/20
AODE Residential Facility,810208,CHRYSALIS HOUSE - CHRYSALIS COURT,120 CHRYSALIS COURT,LEXINGTON,KY,40508,FAYETTE,"CHRYSALIS HOUSE, INC.",LISA,MINTON,(859) 977-2502,2/29/20
AODE Residential Facility,810207,CHRYSALIS HOUSE - HILL RISE,1588 HILL RISE DRIVE,LEXINGTON,KY,40504,FAYETTE,"CHRYSALIS HOUSE, INC.",LISA,MINTON,(859) 277-2502,2/29/20
AODE Residential Facility,810206,CHRYSALIS HOUSE - MAXWELL,251 EAST MAXWELL STREET,LEXINGTON,KY,40508,FAYETTE,"CHRYSALIS HOUSE, INC.",LISA,MINTON,(859) 977-2502,3/31/20
AODE Residential Facility,810545,COMPASS ADOLESCENT RESIDENTIAL TREATMENT PROGRAM,225 NORTH LAUREL ROAD,LONDON,KY,40741,LAUREL,"CUMBERLAND RIVER BEHAVIORAL HEALTH, INC.",REGINA,LEWIS,(606) 877-9999,12/31/19
AODE Residential Facility,810034,CROSSROADS,610 AMERICAN GREETING ROAD,CORBIN,KY,40701,WHITLEY,"CUMBERLAND RIVER BEHAVIORAL HEALTH, INC.",TONY,LANDRUM,(606) 526-9552,1/31/20
AODE Residential Facility,810619,EAST CENTER,100 GRAY STREET,ELIZABETHTOWN,KY,42701,HARDIN,"COMMUNICARE, INC.",DAN,SIMPSON,(270) 982-8824,3/31/20
AODE Residential Facility,810498,"EAST KENTUCKY REHABILITATION CENTER, LLC",921 SOUTH LAKE DRIVE,PRESTONSBURG,KY,41653,FLOYD,"EAST KENTUCKY REHABILITATION CENTER, LLC",DAVID,GEARHEART,(606) 263-4714,Pending Renewal
AODE Residential Facility,810605,EDGEWATER RECOVERY CENTER,189 EDGEWATER ROAD,MOREHEAD,KY,40351,ROWAN,"EDGEWATER RECOVERY CENTER, LLC",JOHN,ELAM,(606) 780-0561,1/31/20
AODE Residential Facility,810387,FOUR RIVERS BEHAVIORAL HEALTH,1525 CUBA ROAD,MAYFIELD,KY,42066,GRAVES,FOUR RIVERS BEHAVIORAL HEALTH,TERRY,HUDSPETH,(270) 247-2588,4/30/20
AODE Residential Facility,810636,FREEDOM HOUSE 3,1025 SOUTH SECOND STREET,LOUISVILLE,KY,40203,JEFFERSON,VOLUNTEERS OF AMERICA MID-STATES,TAMARA,REIF,(502) 888-1366,5/31/20
AODE Residential Facility,810393,FREEDOM HOUSE I,1436 SOUTH SHELBY STREET,LOUISVILLE,KY,40217,JEFFERSON,VOLUNTEERS OF AMERICA - MIDSTATES,TAMARA,REIF,(502) 636-0742,12/31/19
AODE Residential Facility,810038,FREEDOM HOUSE II,1432 SOUTH SHELBY STREET,LOUISVILLE,KY,40217,JEFFERSON,VOLUNTEERS OF AMERICA - MIDSTATES,TAMARA,REIF,(502) 634-0082,1/31/20
AODE Residential Facility,810597,GENESIS - WEST,290 BURLEY AVENUE,HOPKINSVILLE,KY,42240,CHRISTIAN,"PENNYROYAL REGIONAL MH/MR BOARD, INC.",ERIC,EMBRY,(270) 707-2098,10/31/20
AODE Residential Facility,810124,GENESIS EAST,2400 RUSSELLVILLE ROAD,HOPKINSVILLE,KY,42241,CHRISTIAN,"PENNYROYAL REGIONAL MH-MR, BOARD, INC",ERIC,EMBRY,(270) 887-5697,3/31/20
AODE Residential Facility,810286,HALFWAY BACK PROGRAM,1436 SOUTH SHELBY STREET,LOUISVILLE,KY,40217,JEFFERSON,VOLUNTEERS OF AMERICA OF KENTUCKY,TAMARA,REIF,(502) 635-4523,4/30/20
AODE Residential Facility,810260,"HAVEN4CHANGE, INC",1500 PARKSIDE DRIVE,BOWLING GREEN,KY,42101,WARREN,"LIFESKILLS, INC.",JONI,FURLONG,(270) 796-1764,6/30/20
AODE Residential Facility,810073,HILLCREST HALL,209 DAVIS ROAD,MOUNT STERLING,KY,40353,MONTGOMERY,"PATHWAYS, INC.",KIMBERLY,MCCLANAHAN,(859) 498-6574,1/31/20
AODE Residential Facility,810069,HOPE CENTER RECOVERY PROGRAM,360 WEST LOUDEN AVENUE,LEXINGTON,KY,40508,FAYETTE,"HOPE CENTER, INC.",CECIL,DUNN,(859) 252-7881,3/31/20
AODE Residential Facility,810255,HOPE IN THE MOUNTAINS,105 TRIMBLE CHAPEL SQUARE,PRESTONSBURG,KY,41653,FLOYD,"HOPE IN THE MOUNTAINS, INC.",RENEE,MCCOY,(606) 874-0240,12/31/20
AODE Residential Facility,810521,HOPE IN THE MOUNTAINS,95 TRIMBLE CHAPEL SQUARE,PRESTONSBURG,KY,41653,FLOYD,"HOPE IN THE MOUNTAINS, INC.",RENEE,MCCOY,(606) 874-0240,6/30/20
AODE Residential Facility,810043,INDEPENDENCE HOUSE,3110 CUMBERLAND FALLS HIGHWAY,CORBIN,KY,40701,KNOX,"CUMBERLAND RIVER BEHAVIORAL HEALTH, INC.",SAMANTHA,SOWDERS,(606) 523-9386,2/29/20
AODE Residential Facility,810323,"ISAIAH HOUSE, INC",2084 MAIN STREET,WILLISBURG,KY,40078,WASHINGTON,ISAIAH HOUSE INC,MARK,LAPALME SR,(859) 375-9200,11/30/19
AODE Residential Facility,810713,"JOURNEYPURE BOWLING GREEN, LLC","2349 RUSSELLVILLE ROAD, BUILDING 3",BOWLING GREEN,KY,42101,WARREN,"JOURNEYPURE, LLC",JERRY,LUCAS,(270) 781-3387,7/31/20
AODE Residential Facility,810712,"JOURNEYPURE BOWLING GREEN, LLC",2349 RUSSELLVILLE ROAD,BOWLING GREEN,KY,42101,WARREN,"JOURNEYPURE, LLC",JERRY,LUCAS,(270) 781-3387,7/31/20
AODE Residential Facility,810480,KENTON COUNTY DETENTION CENTER,3000 DECKER CRANE LANE,COVINGTON,KY,41017,KENTON,KENTON COUNTY DETENTION CENTER,JASON,MERRICK,(859) 363-2437,10/31/20
AODE Residential Facility,810720,KENTUCKY CHRISTIAN RECOVERY,"263 HUNTSVILLE QUALITY ROAD, SUITE A",MORGANTOWN,KY,42261,BUTLER,KENTUCKY CHRISTIAN RECOVERY,DONTE,PAUL,(270) 934-2024,9/30/20
AODE Residential Facility,810700,LADIES OF PROMISE,2133 WEST MARKET STREET,LOUISVILLE,KY,40212,JEFFERSON,"LADIES OF PROMISE, INC.",MONICA,LAWRENCE,(502) 384-5807,8/31/20
AODE Residential Facility,810701,LADIES OF PROMISE,2131 WEST MARKET STREET,LOUISVILLE,KY,40212,JEFFERSON,"LADIES OF PROMISE, INC.",MONICA,LAWRENCE,(502) 384-5807,8/31/20
AODE Residential Facility,810680,LANDMARK RECOVERY OF LOUISVILLE,"4112 FERN VALLEY ROAD, SUITE A",LOUISVILLE,KY,40219,JEFFERSON,"LANDMARK RECOVERY OF LOUISVILLE, LLC",RONALD,HOBBS,(502) 713-7017,2/29/20
AODE Residential Facility,810503,MOUNTAIN CENTER FOR RECOVERY AND HOPE,120 THE LANDING LANE,PRESTONSBURG,KY,41653,FLOYD,"MOUNTAIN COMPREHENSIVE CARE CENTER, INC.",PROMOD,BISHNOI,(606) 886-8572,4/30/20
AODE Residential Facility,810504,MOUNTAIN CENTER FOR RECOVERY AND HOPE,160 THE LANDING LANE,PRESTONSBURG,KY,41653,FLOYD,"MOUNTAIN COMPREHENSIVE CARE CENTER, INC.",PROMOD,BISHNOI,(606) 886-8572,4/30/20
AODE Residential Facility,810505,MOUNTAIN CENTER FOR RECOVERY AND HOPE,180 THE LANDING LANE,PRESTONSBURG,KY,41653,FLOYD,"MOUNTAIN COMPREHENSIVE CARE CENTER, INC.",PROMOD,BISHNOI,(606) 886-8572,4/30/20
AODE Residential Facility,810502,MOUNTAIN CENTER FOR RECOVERY AND HOPE,100 THE LANDING LANE,PRESTONSBURG,KY,41653,FLOYD,"MOUNTAIN COMPREHENSIVE CARE CENTER, INC.",PROMOD,BISHNOI,(606) 886-8572,4/30/20
AODE Residential Facility,810501,MOUNTAIN COMPREHENSIVE CARE CENTER SERENITY HOUSE,2555 BLACKLOG ROAD,INEZ,KY,41224,MARTIN,"MOUNTAIN COMPREHENSIVE CARE CENTER, INC.",PROMOD,BISHNOI,(606) 298-4872,4/30/20
AODE Residential Facility,810558,"MOUNTAIN COMPREHENSIVE CARE CENTER, THE HOPE HOUSE",2140 EAST 19TH STREET,OWENSBORO,KY,42301,DAVIESS,"MOUNTAIN COMPREHENSIVE CARE CENTER, INC.",PROMOD,BISHNOI,(270) 683-8248,Pending Renewal
AODE Residential Facility,810014,"OASIS, INC",2150 EAST 19TH STREET,OWENSBORO,KY,42303,DAVIESS,"OASIS, INC.",TIFFANY,PEARL,(270) 685-0260,11/30/19
AODE Residential Facility,810526,"ODYSSEY, INC",185 MAGGARD STREET,BENHAM,KY,40807,HARLAN,"ODYSSEY, INC.",TIMMY,"ROBINSON, JR.",(606) 826-0265,7/31/20
AODE Residential Facility,810454,"OUR FATHERS HOUSE, INC",2310 WEST JEFFERSON STREET,LOUISVILLE,KY,40212,JEFFERSON,"OUR FATHERS HOUSE, INC.",DARRYL D.,WALES,(502) 775-0033,5/31/20
AODE Residential Facility,810723,PARACHUTE RECOVERY CENTERS,1320 HIGHWAY 192E,LONDON,KY,40741,LAUREL,"PARACHUTE RECOVERY CENTERS, LLC",SARA,PARMAN,(606) 862-0764,9/30/20
AODE Residential Facility,810212,PARK PLACE RECOVERY CENTER FOR MEN,822 WOODWAY DRIVE,BOWLING GREEN,KY,42101,WARREN,"LIFESKILLS, INCORPORATED",DAVID,DUNCAN,(270) 842-2546,3/31/20
AODE Residential Facility,810559,PARK PLACE RECOVERY CENTER FOR WOMEN,49 HILLVIEW DRIVE,SCOTTSVILLE,KY,42164,ALLEN,"LIFESKILLS, INC.",GENEVA,BRADSHAW,(270) 901-5000,2/29/20
AODE Residential Facility,810163,PASSAGES TRANSITIONAL HOUSING PROGRAM,615 WESTPORT ROAD,ELIZABETHTOWN,KY,42701,HARDIN,"COMMUNICARE, INC.",DAN,SIMPSON,(270) 737-6449,9/30/20
AODE Residential Facility,810213,"PATHWAYS, INC",201 22ND STREET,ASHLAND,KY,41105,BOYD,"PATHWAYS, INC.",KIMBERLY,MCCLANAHAN,(606) 329-8588,3/31/20
AODE Residential Facility,810610,"PATHWAYS, INC",57 DORA LANE,GREENUP,KY,41144,GREENUP,"PATHWAYS, INC.",KIMBERLY,MCCLANAHAN,(606) 329-8588,2/29/20
AODE Residential Facility,810695,"PATHWAYS, INC - A MOTHER'S JOURNEY",41 CRIBBS HILL,GRAYSON,KY,41143,CARTER,"PATHWAYS, INC.",KIMBERLY,MCCLANAHAN,(606) 329-8588,7/31/20
AODE Residential Facility,810465,PATRICIA'S PLACE,2042 MAIN STREET,WILLISBURG,KY,40078,WASHINGTON,"ISAIAH HOUSE, INC.",MARK,"LAPALME, SR.",(859) 375-9200,5/31/20
AODE Residential Facility,810457,RECOVERY WORKS,3111-5 CINCINNATI ROAD,GEORGETOWN,KY,40324,SCOTT,"PINNACLE TREATMENT CENTERS KY - I, LLC",PAUL,WATERS,(502) 570-9313,5/31/20
AODE Residential Facility,810730,RECOVERY WORKS,3107 CINCINNATI ROAD,GEORGETOWN,KY,40324,SCOTT,"PINNACLE TREATMENT CENTERS KY-I, LLC",COLLEEN,VICARI,(502) 570-9313,12/31/20
AODE Residential Facility,810459,RECOVERY WORKS,3111 CINCINNATI ROAD,GEORGETOWN,KY,40324,SCOTT,"PINNACLE TREATMENT CENTERS KY - I, LLC",PAUL,WATERS,(502) 570-9313,5/31/20
AODE Residential Facility,810458,RECOVERY WORKS,3109-5 CINCINNATI ROAD,GEORGETOWN,KY,40324,SCOTT,"PINNACLE TREATMENT CENTERS KY - I, LLC",PAUL,WATERS,(502) 570-9313,5/31/20
AODE Residential Facility,810345,RECOVERY WORKS,3109 CINCINNATI ROAD,GEORGETOWN,KY,40324,SCOTT,"PINNACLE TREATMENT CENTERS KY - I, LLC",PAUL,WATERS,(502) 570-9313,11/30/19
AODE Residential Facility,810426,RECOVERY WORKS AT ELIZABETHTOWN,102 DIECKS DRIVE,ELIZABETHTOWN,KY,42701,HARDIN,"PINNACLE TREATMENT CENTERS KY - I, LLC",RONALD,HOBBS,(270) 982-1244,11/30/20
AODE Residential Facility,810215,RECOVERY WORKS ELIZABETHTOWN,100 DIECKS DRIVE,ELIZABETHTOWN,KY,42701,HARDIN,"PINNACLE TREATMENT CENTERS KY-I, LLC",JAYME,COLLINS,(270) 982-1244,1/31/20
AODE Residential Facility,810617,RECOVERY WORKS ELIZABETHTOWN,104 DIECKS DRIVE,ELIZABETHTOWN,KY,42701,HARDIN,PINNACLE TREATMENT CENTERS KY-I,JAYME,COLLINS,(270) 982-1244,2/29/20
AODE Residential Facility,810365,RECOVERY WORKS ELIZABETHTOWN,101 DIECKS DRIVE,ELIZABETHTOWN,KY,42701,HARDIN,"PINNACLE TREATMENT CENTERS KY-I, LLC",MARCO,TOMAT,(270) 982-1244,6/30/20
AODE Residential Facility,810563,RECOVERY WORKS GREENUP,4634 STATE ROUTE 1043,SOUTH SHORE,KY,41175,GREENUP,"PINNACLE TREATMENT CENTERS KY-I, LLC",PEGGY,GEMPERLINE,(606) 498-4174,4/30/20
AODE Residential Facility,810527,RECOVERY WORKS GREENUP,4632 STATE ROUTE 1043,SOUTH SHORE,KY,41175,GREENUP,"PINNACLE TREATMENT CENTERS KY-I, LLC",PEGGY,GEMPERLINE,(606) 498-4174,7/31/20
AODE Residential Facility,810648,RECOVERY WORKS LONDON,312 CARRERA DRIVE,LONDON,KY,40741,LAUREL,"PINNACLE TREATMENT CENTERS KY-I, LLC",CATHERINE,NAPIER,(606) 260-8962,8/31/20
AODE Residential Facility,810647,RECOVERY WORKS LONDON,300 CARRERA DRIVE,LONDON,KY,40741,LAUREL,"PINNACLE TREATMENT CENTERS KY-I, LLC",CATHERINE,NAPIER,(606) 260-8962,8/31/20
AODE Residential Facility,810374,RECOVERY WORKS PADUCAH,4747 OLD DUBLIN ROAD,MAYFIELD,KY,42066,GRAVES,"PINNACLE TREATMENT CENTERS KY - I, LLC",CARA,GROOM,(270) 623-8500,10/31/20
AODE Residential Facility,810455,RECOVERY WORKS PADUCAH,"4747 OLD DUBLIN ROAD, SUITE A",MAYFIELD,KY,42066,GRAVES,"PINNACLE TREATMENT CENTERS KY - I, LLC",TODD,CASE,(270) 623-8500,4/30/20
AODE Residential Facility,810655,"REDEEMED AND RESTORED, INC",2010 CADIZ ROAD,HOPKINSVILLE,KY,42240,CHRISTIAN,"REDEEMED AND RESTORED, INC.",CANDICE,GROVES,(270) 874-4016,11/30/20
AODE Residential Facility,810626,REVIVE LIFE HOUSE,185 ELM TREE LANE,LEXINGTON,KY,40507,FAYETTE,LEXINGTON LIFE HOUSE,TODD,JOHNS,(859) 523-7762,3/31/20
AODE Residential Facility,810735,REVIVE LIFE HOUSE,111 COCONUT GROVE DRIVE,NICHOLASVILLE,KY,40356,JESSAMINE,REVIVE MINISTRIES,TODD,JOHNS,(859) 881-4505,11/30/20
AODE Residential Facility,810499,REVIVE LIFE HOUSE,101 RICHMOND AVENUE,NICHOLASVILLE,KY,40356,JESSAMINE,"REVIVE MINISTRIES, INC",TODD,JOHNS,(859) 881-4505,2/29/20
AODE Residential Facility,810656,"REVIVE MINISTRIES, INC",101 RICHMOND AVENUE,NICHOLASVILLE,KY,40356,JESSAMINE,"REVIVE MINISTRIES, INC.",TODD,JOHNS,(859) 881-4505,7/31/20
AODE Residential Facility,810221,SHELBY MEN'S RECOVERY CENTER,1436 SOUTH SHELBY STREET,LOUISVILLE,KY,40217,JEFFERSON,VOLUNTEERS OF AMERICA - MIDSTATES,TIFFANY,HALL,(502) 634-0656,1/31/20
AODE Residential Facility,810066,SHEPHERDS HOUSE INC,635 MAXWELTON COURT,LEXINGTON,KY,40508,FAYETTE,"SHEPHERD'S HOUSE, INC.",JEROD,THOMAS,(859) 252-1939,2/29/20
