,ADDRESS,Business Name,Business Type,Business Type Category,CITY,COUNTY,Dispenses Naloxone,Lat,Layer,Location Address Line 1,Location Address Line 2,Location City,Location County,Location State,Location Zip,Lon,Long,NAME,TYPE,ZIP,geometry
247,,ST MARY'S EDUCATIONAL INSTITUTE AT CINCINNATI,NursingAssisted,154.0,,,False,39.222910999999996,,699 E COLUMBIA AVENUE,,CINCINNATI,HAMILTON,OH,45215,-84.431523,,,,,POINT (-84.431523 39.222911)
248,,"DIVERSICARE OF ST. THERESA, LLC",NursingAssisted,154.0,,,False,39.149417,,7010 ROWAN HILL DRIVE,,CINCINNATI,HAMILTON,OH,45227,-84.370926,,,,,POINT (-84.370926 39.149417)
249,,"CLOVERNOOK HEALTHCARE, LLC",NursingAssisted,154.0,,,False,39.22039,,7025 CLOVERNOOK AVENUE,,CINCINNATI,HAMILTON,OH,45231,-84.538025,,,,,POINT (-84.538025 39.22039)
250,,LAKERIDGE ACREA NURSING & REHABILITATION CENTER LLC,NursingAssisted,154.0,,,False,39.211523,,7220 PIPPIN ROAD,,CINCINNATI,HAMILTON,OH,45239,-84.573775,,,,,POINT (-84.573775 39.211523)
251,,"GA HC REIT II WELLSPRING TRS SUB, LLC",NursingAssisted,154.0,,,False,39.21535,,8000 EVERGREEN RIDGE DRIVE,,CINCINNATI,HAMILTON,OH,45215,-84.48852600000001,,,,,POINT (-84.48852600000001 39.21535)
252,,"CHS - MT. HEALTHY, INC.",NursingAssisted,154.0,,,False,39.239678999999995,,8028 HAMILTON AVENUE,,CINCINNATI,HAMILTON,OH,45231,-84.54739000000001,,,,,POINT (-84.54739000000001 39.239679)
253,,"MOUNT HEALTHY CHRISTIAN HOME, INC.",NursingAssisted,154.0,,,False,39.241167,,8097 HAMILTON AVENUE,,CINCINNATI,HAMILTON,OH,45231,-84.547612,,,,,POINT (-84.547612 39.241167)
254,,BROOKDALE PLACE AT FINNEYTOWN LLC,NursingAssisted,151.0,,,False,39.231475,,9101 WINTON ROAD,,CINCINNATI,HAMILTON,OH,45231,-84.509997,,,,,POINT (-84.509997 39.231475)
255,,BAYLEY PLACE,NursingAssisted,2.0,,,False,39.099841999999995,,990 BAYLEY PLACE DRIVE,,CINCINNATI,HAMILTON,OH,45233,-84.64402,,,,,POINT (-84.64402 39.099842)
256,401 EAST 20TH STREET,,,,COVINGTON,KENTON,,39.0674055,LongTerm,,,,,,,,-84.4999643787534,THE PAVILION AT KENTON,NursingHome,41014.0,POINT (-84.4999643787534 39.0674055)
257,100 CARMEL MANOR ROAD,,,,FORT THOMAS,CAMPBELL,,39.064006,LongTerm,,,,,,,,-84.4403,CARMEL MANOR,NursingHome,41075.0,POINT (-84.44029999999999 39.064006)
258,960 HIGHLAND AVENUE,,,,FORT THOMAS,CAMPBELL,,39.072597559791,LongTerm,,,,,,,,-84.46672936241991,HIGHLANDSPRING OF FT THOMAS,NursingHome,41075.0,POINT (-84.46672936241991 39.072597559791)
259,85 NORTH GRAND AVENUE,,,,FORT THOMAS,CAMPBELL,,39.07870495,LongTerm,,,,,,,,-84.4668956281206,ST ELIZABETH FT THOMAS SNF,NursingHome,41075.0,POINT (-84.4668956281206 39.07870495)
260,2344 AMSTERDAM ROAD,,,,VILLA HILLS,KENTON,,39.066717,LongTerm,,,,,,,,-84.584345,MADONNA MANOR,NursingHome,41017.0,POINT (-84.584345 39.066717)
261,,Vitas Healthcare Corporation of Ohio,Hospice,8.0,,,False,39.213279,,151 W Galbraith Rd,,Cincinnati,Hamilton,OH,45216,-84.47868299999999,,,,,POINT (-84.47868299999999 39.213279)
262,,OMNICARE OF CINCINNATI,Hospice,8.0,,,False,39.213279,,151 W Galbraith Rd Ste 5,,Cincinnati,Hamilton,OH,45216,-84.47868299999999,,,,,POINT (-84.47868299999999 39.213279)
263,,"CENTER FOR RESPITE CARE, INC.",Hospice,8.0,,,False,39.113739,,1615 Republic St,,Cincinnati,Hamilton,OH,45202,-84.516921,,,,,POINT (-84.516921 39.113739)
264,,HEARTLAND HOSPICE SERVICES,Hospice,8.0,,,False,39.146778000000005,,3960 Red Bank Rd Ste 140, SUITE 140,Cincinnati,Hamilton,OH,45227,-84.40463000000001,,,,,POINT (-84.40463000000001 39.146778)
265,,"COMFORTBROOK HOSPICE, LLC",Hospice,8.0,,,False,39.162706,,4850 SMITH ROAD,,CINCINNATI,HAMILTON,OH,45212,-84.454169,,,,,POINT (-84.45416899999999 39.162706)
266,,HOSPICE OF CINCINNATI WEST INPATIENT CENTER INPATIENT CENTER,Hospice,8.0,,,False,39.187515000000005,,5343 Hamilton Ave,,Cincinnati,Hamilton,OH,45224,-84.54533599999999,,,,,POINT (-84.54533599999999 39.187515)
267,,"HOSPICE OF SOUTHWEST OHIO, INC.",Hospice,8.0,,,False,39.185015,,7625 Camargo Rd,,Madeira,Hamilton,OH,45243,-84.365736,,,,,POINT (-84.365736 39.185015)
268,,HOSPICE OF CINCINNATI-EAST,Hospice,8.0,,,False,39.072224,,7691 5 Mile Rd,,Cincinnati,Hamilton,OH,45230,-84.351822,,,,,POINT (-84.351822 39.072224)
269,,CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER MEDICAL CENTER,HospitalsChild,1.0,,,False,39.137384000000004,,3229 Burnet Ave,,Cincinnati,Hamilton,OH,45229,-84.50096500000001,,,,,POINT (-84.50096500000001 39.137384)
270,,SHRINERS HOSPITALS FOR CHILDREN,HospitalsChild,1.0,,,False,39.138125,,3229 BURNETT AVENUE,,CINCINNATI,HAMILTON,OH,45229,-84.500885,,,,,POINT (-84.500885 39.138125)
271,,CHILDREN'S HOSPITAL MEDICAL CENTER,HospitalsChild,1.0,,,False,39.140683,,3333 BURNET AVENUE,,CINCINNATI,HAMILTON,OH,45229,-84.50060400000001,,,,,POINT (-84.50060400000001 39.140683)
272,,CHILDREN'S HOSPITAL MEDICAL CENTER,HospitalsChild,8.0,,,False,39.132774,,660 LINCOLN AVENUE,,CINCINNATI,HAMILTON,OH,45206,-84.493566,,,,,POINT (-84.493566 39.132774)
273,200 HOME ROAD,,,,COVINGTON,KENTON,,39.085836,AODE_BHSO,,,,,,,,-84.53934699999999,CHILDREN'S HOME OF NORTHERN KENTUCKY,ChildFacility,41011.0,POINT (-84.53934699999999 39.085836)
274,434 SCOTT BOULEVARD,,,,COVINGTON,KENTON,,39.08692527819,AODE_BHSO,,,,,,,,-84.50923539956909,FAMILY SERVICES OF NORTHERN KENTUCKY,ChildFacility,41011.0,POINT (-84.50923539956909 39.08692527819)
275,"525 ALEXANDRIA PIKE, SUITE 320",,,,SOUTHGATE,CAMPBELL,,39.0674658,PhysicianOffices,,,,,,,,-84.46603950000001,RIVER HILLS PEDIATRICS,ChildFacility,41071.0,POINT (-84.46603950000001 39.0674658)
